V_Ang;H_Ang;H_Aten_2;H_Aten_3;H_Aten_4;H_Aten_5;H_Aten_6;H_Aten_7;H_Aten_8;H_Aten_9;H_Aten_10;H_Aten_15;V_Aten_2;V_Aten_3;V_Aten_4;V_Aten_5;V_Aten_6;V_Aten_7;V_Aten_8;V_Aten_9;V_Aten_10;V_Aten_15;Gain_2;Gain_3;Gain_4;Gain_5;Gain_6;Gain_7;Gain_8;Gain_9;Gain_10;Gain_15
0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.43;0.95;1.86;3.28;5.49;8.76;13.32;18.05;23.29;0.2;13.24;13.32;13.4;13.47;13.53;13.58;13.6;13.59;13.56;13.19
1;1;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.04;0.04;0.02;0.08;0.35;0.95;1.98;3.66;6.13;9.45;12.73;17.1;0;;;;;;;;;;
2;2;0.03;0.03;0.04;0.04;0.05;0.05;0.05;0.06;0.06;0.03;0;0.04;0.35;1.03;2.26;4.13;6.65;9.07;12.26;0.08;;;;;;;;;;
3;3;0.05;0.06;0.06;0.07;0.07;0.07;0.08;0.08;0.09;0.05;0.2;0;0.04;0.4;1.24;2.62;4.53;6.37;8.78;0.44;;;;;;;;;;
4;4;0.08;0.08;0.09;0.09;0.1;0.1;0.11;0.11;0.12;0.07;0.69;0.24;0;0.06;0.54;1.49;2.91;4.32;6.17;1.1;;;;;;;;;;
5;5;0.11;0.11;0.12;0.13;0.13;0.14;0.14;0.15;0.16;0.1;1.48;0.77;0.24;0;0.13;0.7;1.7;2.76;4.18;2.08;;;;;;;;;;
6;6;0.14;0.14;0.15;0.16;0.17;0.17;0.18;0.19;0.2;0.13;2.61;1.6;0.77;0.21;0;0.21;0.83;1.59;2.65;3.43;;;;;;;;;;
7;7;0.18;0.18;0.19;0.2;0.21;0.22;0.22;0.23;0.24;0.17;4.13;2.77;1.6;0.71;0.15;0;0.27;0.76;1.52;5.23;;;;;;;;;;
8;8;0.22;0.22;0.23;0.24;0.25;0.26;0.27;0.28;0.29;0.21;6.13;4.33;2.76;1.51;0.57;0.07;0;0.24;0.71;7.59;;;;;;;;;;
9;9;0.26;0.27;0.28;0.29;0.3;0.31;0.32;0.33;0.34;0.25;8.75;6.37;4.3;2.63;1.29;0.42;0.01;0;0.21;10.76;;;;;;;;;;
10;10;0.31;0.32;0.33;0.34;0.35;0.37;0.38;0.38;0.4;0.3;12.32;9.05;6.32;4.13;2.32;1.06;0.29;0.04;0;15.28;;;;;;;;;;
11;11;0.36;0.37;0.38;0.4;0.41;0.43;0.43;0.44;0.46;0.35;17.61;12.69;8.96;6.09;3.72;2.01;0.87;0.36;0.06;22.95;;;;;;;;;;
12;12;0.42;0.42;0.44;0.46;0.47;0.49;0.5;0.51;0.52;0.41;27.95;18.15;12.53;8.65;5.56;3.32;1.76;0.97;0.4;31.77;;;;;;;;;;
13;13;0.48;0.48;0.5;0.52;0.53;0.55;0.56;0.57;0.59;0.47;28.23;29.58;17.79;12.11;7.97;5.06;2.99;1.9;1.03;22.18;;;;;;;;;;
14;14;0.54;0.55;0.56;0.58;0.6;0.62;0.63;0.65;0.66;0.53;21.25;28.79;27.62;17.14;11.21;7.36;4.65;3.18;1.97;18.94;;;;;;;;;;
15;15;0.6;0.61;0.63;0.65;0.67;0.69;0.71;0.72;0.74;0.59;18.98;21.62;28.2;25.69;15.85;10.47;6.84;4.89;3.26;18;;;;;;;;;;
16;16;0.68;0.69;0.7;0.73;0.75;0.77;0.79;0.8;0.82;0.66;18.64;19.45;21.58;26.92;23.41;14.95;9.77;7.13;4.97;18.51;;;;;;;;;;
17;17;0.75;0.76;0.78;0.81;0.83;0.85;0.87;0.89;0.9;0.74;19.72;19.28;19.38;20.95;26.91;22.83;13.94;10.13;7.19;20.24;;;;;;;;;;
18;18;0.83;0.85;0.87;0.89;0.92;0.94;0.96;0.98;0.99;0.82;22.07;20.64;19.16;18.66;20.66;33.06;20.92;14.39;10.13;22.64;;;;;;;;;;
19;19;0.92;0.94;0.96;0.98;1.01;1.04;1.06;1.07;1.09;0.91;24.29;23.66;20.52;18.24;17.93;21.27;39.09;21.36;14.2;22.61;;;;;;;;;;
20;20;1.01;1.03;1.05;1.08;1.11;1.14;1.16;1.17;1.19;1;22.2;26.68;23.8;19.25;17.09;17.71;22.23;30.3;20.34;19.33;;;;;;;;;;
