ID;Site_name;Longitude;Latitude;Power;Uplink_1;Uplink_2;Uplink_3;Uplink_4;Uplink_5;Uplink_6;Downlink_1;Downlink_2;Downlink_3;Downlink_4;Downlink_5;Downlink_6;Azimuth;Tilt;Height
19147;ALEPL3G;28.82831111;47.01389722;19.5;703;708;713;718;723;728;758;763;768;773;778;783;75;8;10.8
19148;ALEPL3G;28.82831111;47.01389722;19.5;703;708;713;718;723;728;758;763;768;773;778;783;230;5;10.8
19149;ALEPL3G;28.82831111;47.01389722;19.5;703;708;713;718;723;728;758;763;768;773;778;783;315;8;10.8
19171;VIERU4G;28.89243056;47.05068889;28;703;708;713;718;723;728;758;763;768;773;778;783;195;0;9.5
19172;VIERU4G;28.89243056;47.05068889;28;703;708;713;718;723;728;758;763;768;773;778;783;310;0;9.5
870771;M_4G_1BUBO4G_800;28.92833333;46.98722222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;50;7;20
870772;M_4G_1BUBO4G_800;28.92833333;46.98722222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;140;9;20
127094;M_4G_1CANA4G;28.776975;47.04041667;35.8;703;708;713;718;723;728;758;763;768;773;778;783;135;8;15
658338;M_4G_1CANA4G;28.776975;47.04041667;35.8;703;708;713;718;723;728;758;763;768;773;778;783;135;8;15
658339;M_4G_1CANA4G;28.776975;47.04041667;35.8;703;708;713;718;723;728;758;763;768;773;778;783;225;0;15
658340;M_4G_1CANA4G;28.776975;47.04041667;35.8;703;708;713;718;723;728;758;763;768;773;778;783;310;5;15
127095;M_4G_1CANA4G;28.776975;47.04041667;35.8;703;708;713;718;723;728;758;763;768;773;778;783;225;0;15
127096;M_4G_1CANA4G;28.776975;47.04041667;35.8;703;708;713;718;723;728;758;763;768;773;778;783;310;5;15
19020;M_4G_1CANA;28.77388889;47.04068056;18.9;703;708;713;718;723;728;758;763;768;773;778;783;260;4;9
870773;M_4G_1UNIV4G_800;28.82277222;47.01961111;35.8;703;708;713;718;723;728;758;763;768;773;778;783;40;15;26
870774;M_4G_1UNIV4G_800;28.82277222;47.01961111;35.8;703;708;713;718;723;728;758;763;768;773;778;783;180;10;26
870775;M_4G_1UNIV4G_800;28.82277222;47.01961111;35.8;703;708;713;718;723;728;758;763;768;773;778;783;305;8;26
870776;M_4G_2ACAD4G_800;28.8123;47.00469722;35.8;703;708;713;718;723;728;758;763;768;773;778;783;60;10;26
870777;M_4G_2ACAD4G_800;28.8123;47.00469722;35.8;703;708;713;718;723;728;758;763;768;773;778;783;185;6;26
870778;M_4G_2ACAD4G_800;28.8123;47.00469722;35.8;703;708;713;718;723;728;758;763;768;773;778;783;295;8;26
127097;M_4G_2ALBI4G;28.82705556;47.03708056;35.8;703;708;713;718;723;728;758;763;768;773;778;783;50;3;18
658341;M_4G_2ALBI4G;28.82705556;47.03708056;35.8;703;708;713;718;723;728;758;763;768;773;778;783;50;3;18
658342;M_4G_2ALBI4G;28.82705556;47.03708056;35.8;703;708;713;718;723;728;758;763;768;773;778;783;130;4;18
658343;M_4G_2ALBI4G;28.82705556;47.03708056;35.8;703;708;713;718;723;728;758;763;768;773;778;783;0;4;18
127098;M_4G_2ALBI4G;28.82705556;47.03708056;35.8;703;708;713;718;723;728;758;763;768;773;778;783;130;4;18
127099;M_4G_2ALBI4G;28.82705556;47.03708056;35.8;703;708;713;718;723;728;758;763;768;773;778;783;260;4;18
127100;M_4G_2CANT4G;28.85427778;47.01721944;35.8;703;708;713;718;723;728;758;763;768;773;778;783;190;0;10
127101;M_4G_2CANT4G;28.85427778;47.01721944;35.8;703;708;713;718;723;728;758;763;768;773;778;783;330;0;10
127102;M_4G_CETATEA_ALBA_2CETA4G;28.86823889;47.00134167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;0;6;16.5
658344;M_4G_CETATEA_ALBA_2CETA4G;28.86823889;47.00134167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;0;6;16.5
658345;M_4G_CETATEA_ALBA_2CETA4G;28.86823889;47.00134167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;120;2;16.5
658346;M_4G_CETATEA_ALBA_2CETA4G;28.86823889;47.00134167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;255;4;16.5
127103;M_4G_CETATEA_ALBA_2CETA4G;28.86823889;47.00134167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;120;2;16.5
127104;M_4G_CETATEA_ALBA_2CETA4G;28.86823889;47.00134167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;255;4;16.5
1900434;M_4G_2COLI4G;28.86916667;47.04888889;28.9;703;708;713;718;723;728;758;763;768;773;778;783;0;10;52
1900435;M_4G_2COLI4G;28.86916667;47.04888889;28.9;703;708;713;718;723;728;758;763;768;773;778;783;150;8;52
1900436;M_4G_2COLI4G;28.86916667;47.04888889;28.9;703;708;713;718;723;728;758;763;768;773;778;783;230;10;52
870779;M_4G_2COLI4G_800;28.86933056;47.04960278;35.8;703;708;713;718;723;728;758;763;768;773;778;783;0;10;44
